Date,MDA8
16-11-15,18.03
17-11-15,18.03
18-11-15,11.2
19-11-15,7.17
20-11-15,6.68
21-11-15,8.68
22-11-15,30.83
23-11-15,49.43
24-11-15,37.26
25-11-15,50.89
26-11-15,53.17
27-11-15,22.19
28-11-15,19.89
29-11-15,26.55
30-11-15,17.02
01-12-15,9.26
02-12-15,46.5
03-12-15,48.66
04-12-15,43.66
05-12-15,37.03
06-12-15,13.35
07-12-15,7.77
08-12-15,5.06
09-12-15,7.45
10-12-15,51.81
11-12-15,31.96
12-12-15,11.51
13-12-15,10.06
14-12-15,34.31
15-12-15,54.06
16-12-15,44.68
17-12-15,27.39
18-12-15,37.23
19-12-15,13.37
20-12-15,8.68
21-12-15,12.08
22-12-15,8.85
23-12-15,26.91
24-12-15,30.15
25-12-15,15.55
26-12-15,11.95
27-12-15,20.19
28-12-15,14.95
29-12-15,7.54
30-12-15,53.64
31-12-15,27.73
01-01-16,10.48
02-01-16,15.62
03-01-16,20.15
04-01-16,54.2
05-01-16,42.13
06-01-16,48.55
07-01-16,49.82
08-01-16,46.57
09-01-16,25.41
10-01-16,31.89
11-01-16,56.07
12-01-16,54.16
13-01-16,44.78
14-01-16,41.87
15-01-16,24.96
16-01-16,13.8
17-01-16,67.59
18-01-16,66.46
19-01-16,43.36
20-01-16,19.91
21-01-16,13.86
22-01-16,67.41
23-01-16,62.65
24-01-16,59.8
25-01-16,51.19
26-01-16,61.01
27-01-16,28.76
28-01-16,34.14
29-01-16,31.21
30-01-16,39.02
31-01-16,66.54
01-02-16,67.03
02-02-16,56.44
03-02-16,49.87
04-02-16,68.87
05-02-16,77.52
06-02-16,71.83
07-02-16,78.08
08-02-16,77.87
09-02-16,81.23
10-02-16,57.15
11-02-16,25.36
12-02-16,42.14
13-02-16,69.9
14-02-16,72.2
15-02-16,71.74
16-02-16,76.24
17-02-16,71.6
18-02-16,82.55
19-02-16,77.51
20-02-16,77.9
21-02-16,54.67
22-02-16,77.93
23-02-16,78.7
24-02-16,67.61
25-02-16,59.12
26-02-16,67.35
27-02-16,68.32
28-02-16,77.45
29-02-16,70.39
01-03-16,51.93
02-03-16,62.72
03-03-16,49.81
04-03-16,26.22
05-03-16,75.94
06-03-16,47.44
07-03-16,81.17
08-03-16,74.32
09-03-16,70.44
10-03-16,73.9
11-03-16,75.5
12-03-16,46.16
13-03-16,89.65
14-03-16,75.58
15-03-16,53.28
16-03-16,117.85
17-03-16,104.98
18-03-16,102.14
19-03-16,70.41
20-03-16,84.4
21-03-16,112.63
22-03-16,81.31
23-03-16,82.14
24-03-16,82.78
25-03-16,86.09
26-03-16,86.78
27-03-16,91.42
28-03-16,77.6
29-03-16,92.06
30-03-16,89.91
31-03-16,114.18
01-04-16,99.94
02-04-16,81.81
03-04-16,86.66
04-04-16,113.45
05-04-16,131.22
06-04-16,89
07-04-16,88
08-04-16,92.51
09-04-16,90.38
10-04-16,96.44
11-04-16,85.41
12-04-16,73.89
13-04-16,108.53
14-04-16,101.49
15-04-16,88.54
16-04-16,76.97
17-04-16,89.89
18-04-16,94.81
19-04-16,65.91
20-04-16,112.04
21-04-16,118.49
22-04-16,104.86
23-04-16,91.89
24-04-16,144.45
25-04-16,165.76
26-04-16,137.88
27-04-16,113.38
28-04-16,172.26
29-04-16,175.71
30-04-16,217.42
01-05-16,216.6
02-05-16,152.63
03-05-16,100.42
04-05-16,116.41
05-05-16,120.72
06-05-16,100.88
07-05-16,124.96
08-05-16,150.73
09-05-16,126.06
10-05-16,152.79
11-05-16,167.98
12-05-16,124.89
13-05-16,127.06
14-05-16,94.92
